_step,actor/entropy,actor/grad_norm,actor/loss,actor/lr,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,perf/throughput,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,timing_s/step,training/global_step,training/num_turns/max,training/num_turns/mean,training/num_turns/min
1,0.4980481266975403,0.9370275139808655,0.07696589827537537,6.25e-09,1.0,0.0013671868946403265,-0.20000000298023224,1.0,0.0013671868946403265,-0.20000000298023224,610.495687738484,0.05859375,1024,310.65625,1,66.1364212899989,1,6,2.78125,2
2,0.4824056327342987,1.1001137495040894,0.10212957859039307,1.25e-08,1.0,0.05742187052965164,-0.20000000298023224,1.0,0.05742187052965164,-0.20000000298023224,700.4219654646737,0.0546875,1024,309.08984375,1,57.34079166599986,2,6,2.890625,2
3,0.5304346084594727,0.8161721229553223,-0.057333603501319885,1.875e-08,1.0,0.010742186568677425,-0.20000000298023224,1.0,0.010742186568677425,-0.20000000298023224,698.3072586687142,0.0546875,1024,304.9296875,1,57.42959063099988,3,6,2.7734375,2
4,0.5312236547470093,0.8360835909843445,-0.01635848358273506,2.5e-08,1.0,-0.01914062537252903,-0.20000000298023224,1.0,-0.01914062537252903,-0.20000000298023224,696.2890269077036,0.06640625,1024,292.84375,2,56.640272180000466,4,4,2.703125,2
5,0.649707555770874,1.0012850761413574,-0.11360187083482742,3.125e-08,1.0,0.0062499986961483955,-0.20000000298023224,1.0,0.0062499986961483955,-0.20000000298023224,660.5544187110008,0.04296875,1024,291.734375,4,58.97167424300096,5,6,2.859375,2
6,0.5895054936408997,0.9458512663841248,-0.09383518248796463,3.75e-08,1.0,0.002148438710719347,-0.20000000298023224,1.0,0.002148438710719347,-0.20000000298023224,663.5782786963746,0.046875,1024,273.33203125,12,56.95221078400027,6,6,2.796875,2
7,0.5052332282066345,0.9554183483123779,-0.18846330046653748,4.375e-08,1.0,-0.005468748509883881,-0.20000000298023224,1.0,-0.005468748509883881,-0.20000000298023224,665.79266191125,0.05078125,1024,268.93359375,1,56.55176476700035,7,6,2.6953125,2
8,0.4647499620914459,1.1954567432403564,-0.06004464626312256,5e-08,1.0,0.006250000558793545,-0.20000000298023224,1.0,0.006250000558793545,-0.20000000298023224,676.6593008241086,0.0390625,1024,277.875,8,56.514408290000574,8,6,2.8046875,2
9,0.5237899422645569,0.8460407257080078,-0.0885576456785202,5.625e-08,1.0,-0.0380859375,-0.20000000298023224,1.0,-0.0380859375,-0.20000000298023224,669.8953568496205,0.05078125,1024,268.6484375,1,56.481209510000554,9,6,2.6640625,2
10,0.4860314130783081,0.7853972911834717,-0.08475702255964279,6.25e-08,1.0,0.01777343824505806,-0.20000000298023224,1.0,0.01777343824505806,-0.20000000298023224,707.3272907114978,0.046875,1024,310.94140625,2,57.08990806700058,10,6,2.8828125,2
11,0.47029387950897217,0.9291778206825256,0.15361478924751282,6.875e-08,1.0,0.02617187425494194,-0.20000000298023224,1.0,0.02617187425494194,-0.20000000298023224,725.8749779949513,0.07421875,1024,327.79296875,1,56.86757534199933,11,6,2.90625,2
12,0.529667317867279,0.9913278222084045,0.0475897490978241,7.5e-08,1.0,-0.00859374925494194,-0.20000000298023224,1.0,-0.00859374925494194,-0.20000000298023224,656.2223982071249,0.04296875,1024,269.484375,1,57.35403135100023,12,6,2.75,2
13,0.5102975964546204,1.0981900691986084,-0.0650915652513504,8.125e-08,1.0,0.0224609375,-0.20000000298023224,1.0,0.0224609375,-0.20000000298023224,660.4373380013719,0.04296875,1024,268.06640625,1,56.91418070600048,13,6,2.796875,2
14,0.5024367570877075,1.0291545391082764,0.1109457015991211,8.75e-08,1.0,0.02304687350988388,-0.20000000298023224,1.0,0.02304687350988388,-0.20000000298023224,698.4775899816941,0.06640625,1024,307.65625,15,57.15716663300009,14,6,2.8125,2
15,0.4803341329097748,0.9023572206497192,0.06842456012964249,9.375e-08,1.0,0.004882812965661287,-0.20000000298023224,1.0,0.004882812965661287,-0.20000000298023224,711.201809768008,0.0703125,1024,311.546875,1,56.88680687299893,15,6,2.7890625,2
16,0.4637087881565094,0.8520688414573669,-0.09529449045658112,1e-07,1.0,-0.004296874161809683,-0.20000000298023224,1.0,-0.004296874161809683,-0.20000000298023224,671.2121024400269,0.0625,1024,298.8515625,1,58.909098713000276,16,6,2.7734375,2
17,0.46713683009147644,0.980026364326477,0.10292166471481323,1.0624999999999999e-07,1.0,-4.656612873077393e-10,-0.20000000298023224,1.0,-4.656612873077393e-10,-0.20000000298023224,689.332814139259,0.07421875,1024,297.62109375,1,57.0780168780002,17,6,2.734375,2
18,0.5067769289016724,0.9495659470558167,0.08962655067443848,1.125e-07,1.0,0.00390625,-0.20000000298023224,1.0,0.00390625,-0.20000000298023224,681.7927248730832,0.05859375,1024,283.46484375,1,56.57547901699945,18,6,2.78125,2
19,0.4749022126197815,0.8986480832099915,-0.029722636565566063,1.1874999999999999e-07,1.0,-0.01406250149011612,-0.20000000298023224,1.0,-0.01406250149011612,-0.20000000298023224,678.1272135463697,0.07421875,1024,285.87109375,1,57.384144483001364,19,6,2.75,2
20,0.4633295238018036,0.9207910895347595,0.029400121420621872,1.25e-07,1.0,-0.001171874813735485,-0.20000000298023224,1.0,-0.001171874813735485,-0.20000000298023224,685.3519315389625,0.04296875,1024,287.67578125,8,56.7799523270005,20,6,2.796875,2
21,0.5198614001274109,0.9148221015930176,-0.06383132189512253,1.3125e-07,1.0,-0.005859374068677425,-0.20000000298023224,1.0,-0.005859374068677425,-0.20000000298023224,685.1017125004903,0.0390625,1024,285.984375,1,56.617870444999426,21,6,2.8984375,2
22,0.4891495108604431,0.8820276856422424,-0.042106375098228455,1.375e-07,1.0,-0.0087890625,-0.20000000298023224,1.0,-0.0087890625,-0.20000000298023224,634.2891498036652,0.05078125,1024,263.375,1,58.802834656000414,22,6,2.7265625,2
23,0.44085103273391724,0.8199999928474426,0.09502851217985153,1.4374999999999997e-07,1.0,0.00859374925494194,-0.20000000298023224,1.0,0.00859374925494194,-0.20000000298023224,698.446979136308,0.07421875,1024,302.23828125,1,57.021150051001314,23,6,2.75,2
24,0.4603451192378998,0.9267747402191162,0.03699887543916702,1.5e-07,1.0,0.0007812492549419403,-0.20000000298023224,1.0,0.0007812492549419403,-0.20000000298023224,674.0591700087846,0.06640625,1024,296.8359375,1,58.76264542100034,24,6,2.8515625,2
25,0.5266333222389221,1.00228750705719,0.10783886909484863,1.5624999999999999e-07,1.0,0.006445311941206455,-0.20000000298023224,1.0,0.006445311941206455,-0.20000000298023224,689.9194944081863,0.0546875,1024,298.03515625,2,57.19254249200094,25,6,2.859375,2
26,0.5454129576683044,0.9017271399497986,-0.011425133794546127,1.625e-07,1.0,-0.0013671868946403265,-0.20000000298023224,1.0,-0.0013671868946403265,-0.20000000298023224,691.3903620773079,0.06640625,1024,312.69140625,1,58.57942520100005,26,6,2.84375,2
27,0.526066780090332,0.9143144488334656,0.02155127376317978,1.6875e-07,1.0,0.04746093600988388,-0.20000000298023224,1.0,0.04746093600988388,-0.20000000298023224,665.064287048912,0.03125,1024,296.71484375,1,58.99993544099925,27,6,2.9296875,2
28,0.4867594242095947,1.2433898448944092,0.005109505727887154,1.75e-07,1.0,0.01855468563735485,-0.20000000298023224,1.0,0.01855468563735485,-0.20000000298023224,684.6788167531516,0.04296875,1024,294.67578125,10,57.02856440799951,28,6,2.9140625,2
29,0.5062406659126282,0.9137693643569946,-0.011381898075342178,1.8124999999999999e-07,1.0,0.011914064176380634,-0.20000000298023224,1.0,0.011914064176380634,-0.20000000298023224,686.2495183323654,0.05859375,1024,311.62890625,2,58.9089666660002,29,6,2.890625,2
30,0.45534875988960266,0.9128214716911316,-0.010283254086971283,1.875e-07,1.0,0.02578125149011612,-0.20000000298023224,1.0,0.02578125149011612,-0.20000000298023224,690.2358316455216,0.0703125,1024,315.8359375,1,59.00084888799938,30,6,2.9609375,2
31,0.4628533124923706,1.0299626588821411,0.09400751441717148,1.9375e-07,1.0,0.015625,-0.20000000298023224,1.0,0.015625,-0.20000000298023224,700.0946341563613,0.08203125,1024,301.85546875,1,56.72768803300096,31,6,2.828125,2
32,0.4701087176799774,0.6860107183456421,0.12237868458032608,2e-07,1.0,-0.007226560264825821,-0.20000000298023224,1.0,-0.007226560264825821,-0.20000000298023224,739.8466571401976,0.0859375,1024,337.1796875,1,56.98951207400023,32,6,2.875,2
33,0.505659818649292,0.9085224270820618,0.13293012976646423,2.0624999999999998e-07,1.0,0.01640625111758709,-0.20000000298023224,1.0,0.01640625111758709,-0.20000000298023224,714.8803922588836,0.06640625,1024,319.09375,1,57.15641447500093,33,6,2.9921875,2
34,0.47386059165000916,0.8442780375480652,0.07602880150079727,2.1249999999999998e-07,1.0,0.01914062537252903,-0.20000000298023224,1.0,0.01914062537252903,-0.20000000298023224,703.0321066863671,0.05859375,1024,311.43359375,1,57.49630723200062,34,6,2.90625,2
35,0.4479506313800812,0.9831107258796692,0.03882622718811035,2.1875e-07,1.0,0.04960937798023224,-0.20000000298023224,1.0,0.04960937798023224,-0.20000000298023224,699.889897502147,0.0703125,1024,331.71875,1,59.28503918699971,35,6,3.078125,2
36,0.4711547791957855,0.8486713767051697,0.008664734661579132,2.25e-07,1.0,0.03925780951976776,-0.20000000298023224,1.0,0.03925780951976776,-0.20000000298023224,728.2824324789037,0.0703125,1024,325.7578125,1,56.84264531699955,36,6,3.015625,2
37,0.5042651295661926,0.8622093200683594,0.09611393511295319,2.3125e-07,1.0,0.03984374925494194,-0.20000000298023224,1.0,0.03984374925494194,-0.20000000298023224,709.9439049672936,0.0703125,1024,334.79296875,11,59.008535331999155,37,6,3.0234375,2
38,0.44177886843681335,0.905350923538208,0.06278970837593079,2.3749999999999998e-07,1.0,0.03496093675494194,-0.20000000298023224,1.0,0.03496093675494194,-0.20000000298023224,712.0789458358887,0.06640625,1024,336.125,1,58.888133464999555,38,6,3.1328125,2
39,0.4830806255340576,1.0488961935043335,0.06864718347787857,2.4375e-07,1.0,0.03359375149011612,-0.20000000298023224,1.0,0.03359375149011612,-0.20000000298023224,695.989836574607,0.0703125,1024,324.0625,1,59.31408453200129,39,6,3.0390625,2
40,0.5160165429115295,1.2243585586547852,0.006388860754668713,2.5e-07,1.0,0.03671874850988388,-0.20000000298023224,1.0,0.03671874850988388,-0.20000000298023224,693.9269902032387,0.04296875,1024,318.71875,1,58.74681425499875,40,6,3.1875,2
41,0.4380258321762085,1.1565709114074707,0.09354639053344727,2.5625e-07,1.0,0.04433593526482582,-0.20000000298023224,1.0,0.04433593526482582,-0.20000000298023224,729.7800932874732,0.0546875,1024,325.5078125,1,56.780803396999545,41,6,3.125,2
42,0.49364402890205383,1.0971829891204834,0.0003751469776034355,2.625e-07,1.0,0.0751953125,-0.20000000298023224,1.0,0.0751953125,-0.20000000298023224,701.9349951258041,0.0390625,1024,322.84375,1,58.56525217499984,42,6,3.2890625,2
43,0.5185221433639526,0.8668631911277771,0.10985739529132843,2.6874999999999997e-07,1.0,0.07070311903953552,-0.20000000298023224,1.0,0.07070311903953552,-0.20000000298023224,741.4907597399775,0.0546875,1024,344.46484375,1,57.296398426999076,43,6,3.265625,2
44,0.4464088976383209,1.0057790279388428,0.1871306598186493,2.75e-07,1.0,0.06601562350988388,-0.20000000298023224,1.0,0.06601562350988388,-0.20000000298023224,732.7408813877366,0.0546875,1024,332.05078125,10,56.83489355900019,44,6,3.3046875,2
45,0.4391118586063385,1.136383056640625,0.15717166662216187,2.8125e-07,1.0,0.0654296875,-0.20000000298023224,1.0,0.0654296875,-0.20000000298023224,719.6743609283858,0.04296875,1024,352.75,1,59.64920015300049,45,6,3.5078125,2
46,0.48630255460739136,0.9685590863227844,0.08622101694345474,2.8749999999999995e-07,1.0,0.09121093153953552,-0.20000000298023224,1.0,0.09121093153953552,-0.20000000298023224,737.1813627457557,0.046875,1024,355.5546875,2,58.52359023200006,46,6,3.4453125,2
47,0.4413430988788605,1.0320078134536743,0.23208679258823395,2.9375e-07,1.0,0.11406249552965164,-0.20000000298023224,1.0,0.11406249552965164,-0.20000000298023224,785.6719291911294,0.0546875,1024,376.35546875,8,56.697647383,47,6,3.453125,2
48,0.46886059641838074,0.9651491045951843,0.09049829840660095,3e-07,1.0,0.13847656548023224,-0.20000000298023224,1.0,0.13847656548023224,-0.20000000298023224,734.584274347089,0.046875,1024,371.2109375,1,59.887614717999895,48,6,3.5390625,2
49,0.43591710925102234,1.0213087797164917,0.15973453223705292,3.0625000000000003e-07,1.0,0.0751953125,-0.20000000298023224,1.0,0.0751953125,-0.20000000298023224,752.6553509048006,0.04296875,1024,380.08984375,1,59.423944765998385,49,6,3.578125,2
50,0.35450276732444763,0.7696943283081055,0.28220242261886597,3.1249999999999997e-07,1.0,0.126953125,-0.20000000298023224,1.0,0.126953125,-0.20000000298023224,770.6030448113743,0.08984375,1024,400.35546875,1,59.540058022001176,50,6,3.53125,2
51,0.4562963545322418,0.8129222393035889,0.18992948532104492,3.1874999999999997e-07,1.0,0.109375,-0.20000000298023224,1.0,0.109375,-0.20000000298023224,760.0504357208081,0.0625,1024,383.68359375,1,59.18784844500078,51,6,3.4921875,2
52,0.4338213801383972,0.944023847579956,0.10814729332923889,3.25e-07,1.0,0.10078124701976776,-0.20000000298023224,1.0,0.10078124701976776,-0.20000000298023224,742.7102319775313,0.03125,1024,368.91015625,1,59.512105929001336,52,6,3.5625,2
53,0.44829609990119934,1.0953654050827026,0.19093720614910126,3.3124999999999995e-07,1.0,0.09941406548023224,-0.20000000298023224,1.0,0.09941406548023224,-0.20000000298023224,748.0369857543225,0.046875,1024,370.5078125,2,59.13009763199989,53,6,3.546875,2
54,0.43375688791275024,0.9298986792564392,0.19130979478359222,3.375e-07,1.0,0.17246092855930328,-0.20000000298023224,1.0,0.17246092855930328,-0.20000000298023224,756.3110788670548,0.046875,1024,375.64453125,1,58.964163352999094,54,6,3.703125,2
55,0.3878544569015503,1.010606288909912,0.21616901457309723,3.4375e-07,1.0,0.16542969644069672,-0.20000000298023224,1.0,0.16542969644069672,-0.20000000298023224,756.0833797801067,0.0234375,1024,383.5390625,21,59.61445682499834,55,6,3.8984375,2
56,0.36635175347328186,0.8791729807853699,0.2796640992164612,3.5e-07,1.0,0.16445311903953552,-0.20000000298023224,1.0,0.16445311903953552,-0.20000000298023224,761.089511242623,0.046875,1024,382.1640625,1,58.98452066000027,56,6,3.8359375,2
57,0.2879445552825928,0.9137077331542969,0.15805630385875702,3.5625e-07,1.0,0.16914063692092896,-0.20000000298023224,1.0,0.16914063692092896,-0.20000000298023224,758.6624578277197,0.02734375,1024,373.03515625,1,58.445293480001055,57,6,3.859375,2
58,0.3216279149055481,0.7785605788230896,0.2926468551158905,3.6249999999999997e-07,1.0,0.21562498807907104,-0.20000000298023224,1.0,0.21562498807907104,-0.20000000298023224,792.4779582825943,0.05859375,1024,414.296875,1,59.25716861799992,58,6,3.875,2
59,0.3340153992176056,0.8349584341049194,0.293082058429718,3.6875e-07,1.0,0.21210937201976776,-0.20000000298023224,1.0,0.21210937201976776,-0.20000000298023224,772.0184402476793,0.04296875,1024,395.30859375,26,59.182200343999284,59,6,3.859375,2
60,0.3246629238128662,0.9558323621749878,0.2567087411880493,3.75e-07,1.0,0.20527343451976776,-0.20000000298023224,1.0,0.20527343451976776,-0.20000000298023224,793.9985944254312,0.046875,1024,385.48046875,1,56.963262048000615,60,6,3.890625,2
61,0.3426513373851776,0.8885548114776611,0.07295481860637665,3.8124999999999995e-07,1.0,0.17792969942092896,-0.20000000298023224,1.0,0.17792969942092896,-0.20000000298023224,734.7032715810717,0.015625,1024,357.08203125,1,58.9928637539997,61,6,3.84375,2
62,0.30537211894989014,0.8754832148551941,0.3157067596912384,3.875e-07,1.0,0.220703125,-0.20000000298023224,1.0,0.220703125,-0.20000000298023224,773.4695083148071,0.03125,1024,378.01953125,28,57.50097388699942,62,6,3.8828125,2
63,0.27302825450897217,0.9505702257156372,0.19907209277153015,3.9375e-07,1.0,0.1943359524011612,-0.20000000298023224,1.0,0.1943359524011612,-0.20000000298023224,736.6798330767781,0.015625,1024,357.9609375,2,58.84713827300038,63,6,3.8828125,2
64,0.30429497361183167,0.6382205486297607,0.12057776749134064,4e-07,1.0,0.2607421875,-0.20000000298023224,1.0,0.2607421875,-0.20000000298023224,794.1965627245021,0.0078125,1024,385.015625,1,56.94434114000069,64,6,3.8984375,2
65,0.3062385618686676,0.8735619783401489,0.2535184323787689,4.0625e-07,1.0,0.2041015774011612,-0.20000000298023224,1.0,0.2041015774011612,-0.20000000298023224,750.7434008654913,0.01953125,1024,376.25,2,59.34251296600087,65,6,3.9296875,2
66,0.310603529214859,0.8925768136978149,0.21639417111873627,4.1249999999999997e-07,1.0,0.2353515625,-0.20000000298023224,1.0,0.2353515625,-0.20000000298023224,776.8990777246254,0.0234375,1024,404.64453125,1,59.58849910800018,66,6,4.0078125,2
67,0.2957988679409027,0.8053916692733765,0.19761419296264648,4.1875e-07,1.0,0.1875,-0.20000000298023224,1.0,0.1875,-0.20000000298023224,772.0928496521908,0.01953125,1024,390.89453125,26,58.90515631699964,67,6,3.953125,2
68,0.28833580017089844,0.8413169980049133,0.10759826004505157,4.2499999999999995e-07,1.0,0.21484375,-0.20000000298023224,1.0,0.21484375,-0.20000000298023224,791.8051025615179,0.0078125,1024,387.015625,1,56.93320219099951,68,6,3.984375,2
69,0.24979224801063538,0.6772228479385376,0.2116284817457199,4.3125e-07,1.0,0.2314453125,-0.20000000298023224,1.0,0.2314453125,-0.20000000298023224,755.0307455049896,0.0234375,1024,381.85546875,37,59.368112182000914,69,6,3.90625,2
70,0.26097631454467773,0.9638649225234985,0.2756892144680023,4.375e-07,1.0,0.23984375596046448,-0.20000000298023224,1.0,0.23984375596046448,-0.20000000298023224,773.3440232486013,0.0234375,1024,370.01953125,1,57.10815455000011,70,6,3.9140625,2
71,0.26219284534454346,0.6570672392845154,0.2616100311279297,4.4374999999999993e-07,1.0,0.2119140625,-0.20000000298023224,1.0,0.2119140625,-0.20000000298023224,759.1411857295884,0.03125,1024,379.03515625,1,58.590221208,71,6,3.875,2
72,0.2913760840892792,0.8317756652832031,0.18858616054058075,4.5e-07,1.0,0.24257813394069672,-0.20000000298023224,1.0,0.24257813394069672,-0.20000000298023224,796.5563989910056,0.015625,1024,388.234375,24,56.8371556080001,72,6,3.96875,2
73,0.29957669973373413,0.7100349068641663,0.07546602189540863,4.5624999999999997e-07,1.0,0.2412109524011612,-0.20000000298023224,1.0,0.2412109524011612,-0.20000000298023224,797.4610809484363,0.01171875,1024,392.55859375,1,56.99431744799949,73,6,3.9921875,2
74,0.2614048421382904,0.7621780037879944,0.10116921365261078,4.625e-07,1.0,0.23417969048023224,-0.20000000298023224,1.0,0.23417969048023224,-0.20000000298023224,781.6244396170817,0.0078125,1024,372.4375,1,56.680673933000435,74,6,3.9453125,2
75,0.2152329981327057,0.7753417491912842,0.16508078575134277,4.6874999999999996e-07,1.0,0.31816408038139343,-0.20000000298023224,1.0,0.31816408038139343,-0.20000000298023224,791.6530272691634,0.01171875,1024,378.5859375,34,56.490025882001646,75,6,3.953125,2
76,0.2628588378429413,0.649763822555542,0.09718894213438034,4.7499999999999995e-07,1.0,0.212890625,-0.20000000298023224,1.0,0.212890625,-0.20000000298023224,780.643019140597,0.0078125,1024,395.80078125,24,58.73523348799972,76,6,3.984375,2
77,0.2515467703342438,0.5645652413368225,0.17186413705348969,4.812499999999999e-07,1.0,0.2412109375,-0.20000000298023224,1.0,0.2412109375,-0.20000000298023224,781.7432099998441,0.015625,1024,382.34375,80,57.06861208299961,77,4,3.9453125,2
78,0.250888854265213,0.6665933132171631,0.2176867127418518,4.875e-07,1.0,0.21347658336162567,-0.20000000298023224,1.0,0.21347658336162567,-0.20000000298023224,766.4366026909404,0.015625,1024,385.30078125,9,58.686197712999274,78,6,3.9375,2
79,0.2254864126443863,0.7123327255249023,0.08813748508691788,4.9375e-07,1.0,0.2216796875,-0.20000000298023224,1.0,0.2216796875,-0.20000000298023224,782.002731410508,0.0078125,1024,374.95703125,27,56.79807527000048,79,6,3.9453125,2
80,0.2330825924873352,0.5766595602035522,0.10122786462306976,5e-07,1.0,0.20175781846046448,-0.20000000298023224,1.0,0.20175781846046448,-0.20000000298023224,799.9348492002943,0.0078125,1024,389.78515625,48,56.96620174199961,80,6,3.953125,2
81,0.24271462857723236,0.544669508934021,0.20192894339561462,5e-07,1.0,0.21015626192092896,-0.20000000298023224,1.0,0.21015626192092896,-0.20000000298023224,803.7738559647859,0.01953125,1024,402.51171875,93,57.41260387800139,81,6,3.984375,2
82,0.19414465129375458,0.5986961126327515,0.09766176342964172,5e-07,1.0,0.2681640684604645,-0.20000000298023224,1.0,0.2681640684604645,-0.20000000298023224,770.5411214862364,0.01171875,1024,387.5390625,1,58.59583446099896,82,6,3.953125,2
83,0.23441652953624725,0.5683732628822327,0.1616029441356659,5e-07,1.0,0.19804686307907104,-0.20000000298023224,1.0,0.19804686307907104,-0.20000000298023224,804.9809597740201,0.015625,1024,394.88671875,1,56.85941939899931,83,6,3.8984375,2
84,0.2101708948612213,0.5177744626998901,0.21060338616371155,5e-07,1.0,0.24375000596046448,-0.20000000298023224,1.0,0.24375000596046448,-0.20000000298023224,789.230742731995,0.0234375,1024,411.390625,1,59.29824760500014,84,6,3.96875,2
85,0.18469004333019257,0.5740775465965271,0.11854647845029831,5e-07,1.0,0.23164063692092896,-0.20000000298023224,1.0,0.23164063692092896,-0.20000000298023224,799.6378680991165,0.01171875,1024,390.046875,1,56.841980368000804,85,6,3.96875,2
86,0.19014425575733185,0.801118016242981,0.1284312903881073,5e-07,1.0,0.263671875,-0.20000000298023224,1.0,0.263671875,-0.20000000298023224,806.6030942411339,0.01171875,1024,392.97265625,26,56.4444276560007,86,6,3.953125,2
87,0.23249125480651855,0.5860286355018616,0.06541070342063904,5e-07,1.0,0.22773437201976776,-0.20000000298023224,1.0,0.22773437201976776,-0.20000000298023224,792.1347338074818,0.0078125,1024,390.578125,21,57.58490071600136,87,6,3.921875,2
88,0.1978989839553833,0.4478510618209839,0.10713023692369461,5e-07,1.0,0.26152345538139343,-0.20000000298023224,1.0,0.26152345538139343,-0.20000000298023224,810.0628207123299,0.015625,1024,399.43359375,1,56.81010018399866,88,6,3.9296875,2
89,0.1959410011768341,0.4703772962093353,0.04771558195352554,5e-07,1.0,0.24472655355930328,-0.20000000298023224,1.0,0.24472655355930328,-0.20000000298023224,798.553251178286,0.00390625,1024,390.91015625,48,56.987120061001406,89,6,3.9765625,2
90,0.21370960772037506,0.8087288737297058,0.03076748177409172,5e-07,1.0,0.22675782442092896,-0.20000000298023224,1.0,0.22675782442092896,-0.20000000298023224,803.8374899891253,0.00390625,1024,394.7578125,1,56.730994221999936,90,6,3.9921875,2
91,0.2563713490962982,0.431147962808609,0.04797559231519699,5e-07,1.0,0.2710937559604645,-0.20000000298023224,1.0,0.2710937559604645,-0.20000000298023224,805.6225015740862,0.00390625,1024,403.1015625,24,57.56604353699913,91,6,3.9609375,2
92,0.16763339936733246,0.4703337550163269,0.09413961321115494,5e-07,1.0,0.24277344346046448,-0.20000000298023224,1.0,0.24277344346046448,-0.20000000298023224,788.3044669371955,0.01171875,1024,385.26953125,1,57.29797545800102,92,6,3.9296875,2
93,0.20183752477169037,0.4879380464553833,0.1772957146167755,5e-07,1.0,0.23710937798023224,-0.20000000298023224,1.0,0.23710937798023224,-0.20000000298023224,809.7672053659801,0.015625,1024,402.81640625,72,57.00187621100122,93,6,3.9609375,2
94,0.15204790234565735,0.457929790019989,0.06200449541211128,5e-07,1.0,0.2099609375,-0.20000000298023224,1.0,0.2099609375,-0.20000000298023224,788.6274864161574,0.0078125,1024,387.4453125,1,57.15182488100072,94,6,3.9140625,2
95,0.18216195702552795,0.43207859992980957,0.006966311484575272,5e-07,1.0,0.2601562440395355,-0.20000000298023224,1.0,0.2601562440395355,-0.20000000298023224,791.6132269235432,0.00390625,1018,381.7734375,1,56.62803307899958,95,6,3.984375,2
96,0.15660780668258667,0.6999801397323608,0.12950673699378967,5e-07,1.0,0.3414062559604645,-0.20000000298023224,1.0,0.3414062559604645,-0.20000000298023224,807.0845797748472,0.01171875,1024,399.4296875,1,56.978538745999685,96,6,3.9453125,2
97,0.1756574958562851,0.5153563618659973,0.05554639920592308,5e-07,1.0,0.27011722326278687,-0.20000000298023224,1.0,0.27011722326278687,-0.20000000298023224,796.3929150258764,0.00390625,1024,389.73828125,90,56.96214662899911,97,6,3.9765625,2
98,0.1779523342847824,0.4406137764453888,-0.005900789052248001,5e-07,1.0,0.2554687559604645,-0.20000000298023224,1.0,0.2554687559604645,-0.20000000298023224,806.607140553311,0.00390625,985,407.3203125,1,57.78835526799958,98,6,3.9609375,2
99,0.18168188631534576,0.4754665791988373,0.08941590785980225,5e-07,1.0,0.25761717557907104,-0.20000000298023224,1.0,0.25761717557907104,-0.20000000298023224,782.9860585255649,0.01171875,1024,404.19140625,35,59.08055385700027,99,6,3.9609375,2
